Generation,BestCandidate, Average, WorstCandidate
3840, 0.7, 0.6754666, 0
3845, 0.7, 0.6994666, 0
3850, 0.7, 0.6682665, 0
3855, 0.7, 0.6754666, 0
3860, 0.7, 0.6999999, 0
3865, 0.7, 0.6768, 0
3870, 0.7, 0.6909332, 0
3875, 0.7, 0.6882666, 0
3880, 0.7, 0.6989332, 0
3885, 0.7, 0.6685332, 0
3890, 0.7, 0.6112, 0
3895, 0.7, 0.6773332, 0
3900, 0.7, 0.6399999, 0
3905, 0.7, 0.6991999, 0
3910, 0.7, 0.6781332, 0
3915, 0.7, 0.6050666, 0
3920, 0.7, 0.6848, 0
3925, 0.7, 0.6986666, 0
3930, 0.7, 0.6687999, 0
3935, 0.7, 0.6512001, 0
3940, 0.7, 0.6999999, 0
3945, 0.7, 0.6890666, 0
3950, 0.7, 0.6999999, 0
3955, 0.7, 0.6770666, 0
3960, 0.7, 0.6890666, 0
3965, 0.7, 0.6903999, 0
3970, 0.7, 0.6951999, 0
3975, 0.7, 0.6999999, 0
3980, 0.7, 0.6991999, 0
3985, 0.7, 0.6999999, 0
3990, 0.7, 0.6781332, 0
3995, 0.7, 0.6890666, 0
4000, 0.7, 0.6738666, 0
